"","y1","y2","y3","y4","y5","precio_median","SKU","G18","G1901","G0802","plata2_","plata3","plata4","seller"
"23",12.3333333333333,9,25,17,18,12900,98,0,0,0,124565.826330532,103361.344537815,245294.117647059,23
"24",13,20.5,18.9,22,20.58,39990,40,0,1,0,386411.764705882,532357.142857143,490357.142857143,24
"25",4,5.66666666666667,12,9.5,11.1,7990,1009,0,0,0,15857.1428571429,22011.2044817927,46823.5294117647,25
"26",2,4,6.8,8.96,10,29990,82,0,0,0,47042.0168067227,78957.9831932773,159929.411764706,26
"28",9,3,6,8,9,16072.5,72,0,0,1,67151.2605042017,22663.8655462185,45327.731092437,28
"29",7,4,20,36,33.2,21990,72,0,0,1,124310.924369748,70554.6218487395,349411.764705882,29
"32",8,14.75,13.95,28,6,28490,92,0,1,0,218420.168067227,357649.159663866,345555.042016807,32
"33",7,20,21.8,38,21.76,14990,56,0,0,1,148680.672268908,209058.823529412,475783.193277311,33
"34",6.66666666666667,8.41666666666667,7,18,15,42000,2880,0,0,1,335014.005602241,405182.072829132,334453.781512605,34
"35",14.3333333333333,14,3,5,5,49990,23,0,0,0,492876.75070028,470470.588235294,100815.12605042,35
"37",2,3,0.1,100,292,319990,557,0,0,0,319310.924369748,491554.62184874,0,37
"39",8.66666666666667,14,2,5,3.2,25000,29,0,0,0,159103.641456583,248739.495798319,30252.1008403361,39
"40",21,27,12,11,42.4,916490,620,0,1,0,7079638.65546218,7634109.24369748,2378050.42016807,40
"41",3,6,9.8,8.56,6.472,22000,5,0,0,0,20142.8571428571,35243.6974789916,80586.5546218487,41
"42",10,10,6.5,2,8.3,8850,126,0,0,0,54579.8319327731,54071.4285714286,58359.243697479,42
"43",13,5,20,86.8,133.36,34500,1027,1,0,1,110588.235294118,232605.042016807,126050.420168067,43
"45",41.6666666666667,43,51,47,228,24490,4,0,0,0,1220882.35294118,1583302.5210084,854058.823529412,45
"46",0.1,3,3,33,48,30990,222,0,0,0,0,94092.4369747899,81470.5882352941,46
"47",29,417,635,830,1044,30990,1,0,1,0,722327.731092437,8415957.98319328,12634025.210084,47
"48",2,7,8,11,14,164990,270,0,0,1,131075.630252101,519268.907563025,604134.453781513,48
"49",4,12,8,11,10.4,26990,246,0,1,1,137781.512605042,412487.394957983,468000,49
"50",0.1,1,2,20,41.4,62990,221,0,1,0,0,26042.0168067227,73932.7731092437,50
"51",0.1,53,98,78.8,65.96,42990,180,0,1,0,0,1521386.55462185,3077327.73109244,51
"52",5,11,11.4,10.08,59.496,41990,33,0,1,0,131050.420168067,367134.453781513,421732.773109244,52
"53",2,10,11,23,14.4,44990,3152,0,0,1,78974.7899159664,305798.319327731,522546.218487395,53
"54",1,4,14,162,45.4,71990,6418,0,0,0,168899.159663866,621815.12605042,1694000,54
"55",0.1,0.1,17,35,37.6,25990,492,0,0,1,0,0,344394.957983193,55
"57",6.66666666666667,11.1666666666667,7,22,22,67990,88,0,0,0,358767.507002801,781183.473389356,415067.226890756,57
"58",2,3,12,9.4,12.28,26990,69,0,0,1,45361.3445378151,68042.0168067227,296537.81512605,58
"59",5,10.25,11.65,21,8,99990,23,0,0,0,281470.588235294,807678.571428571,956406.302521009,59
"60",2,34,68,58,90,279990,333,0,1,0,194924.369747899,13140605.0420168,13181579.8319328,60
"61",2,19,29,36,45,29900,1715,0,0,0,26722.6890756303,402815.12605042,666890.756302521,61
"63",13,20,24,39,67.2,93000,14274,1,0,0,1999159.66386555,1430672.26890756,1876974.78991597,63
"64",5,15.25,15.85,24,29.97,19990,59,1,0,0,54579.8319327731,166468.487394958,173018.067226891,64
"66",1,2,7.2,12.24,3,24990,9,0,0,0,21000,36117.6470588235,111200,66
"68",2,16,4,7.5,7.625,99990,11,0,0,0,268890.756302521,1169394.95798319,537781.512605042,68
"69",10,20,26.6,35.32,19,99990,213,0,0,0,357865.546218487,1100487.39495798,1494415.12605042,69
"70",2,4,32.2,43.44,55,27990,1423,0,0,0,196621.848739496,462151.260504202,2697247.73109244,70
"71",6,3,7,14,13.2,13900,103,0,0,0,41966.3865546219,20142.8571428571,61268.9075630252,71
"72",3,11,2,9,5,29990,104,0,0,0,49554.6218487395,269638.655462185,42000,72
"74",27.6666666666667,33.4166666666667,37,41,47,12490,112,0,0,0,426014.005602241,496759.803921569,603756.302521008,74
"75",10,6.66666666666667,6.66666666666667,7,9.5,15990,22,0,0,0,206638.655462185,107226.890756303,117306.722689076,75
"76",52,65.5,61.3,44,27,6990,320,0,0,0,262420.168067227,354457.983193277,340708.403361345,76
"77",2,30,14.4,18.88,16.256,14990,317,1,0,1,28554.6218487395,419915.966386555,203576.470588235,77
"78",16,39,64,75,53,35575,90,0,0,0,447773.109243697,1447689.07563025,1893361.34453782,78
"79",12,28,36.2,80,33.84,18900,774,0,1,0,727630.25210084,1701445.37815126,1652710.92436975,79
"80",6,12,11.8,14.36,19,18990,47,0,0,0,133680.672268908,304033.613445378,335289.075630252,80
"81",13,31.75,33.15,28,26,21990,1003,0,0,1,294848.739495798,625771.008403361,616011.344537815,81
"82",3,4,2,15,6,699990,146,0,0,0,3129162.46498599,3621815.12605042,2345529.41176471,82
"83",7,5.75,7,6,4,29990,49,0,0,0,333784.31372549,239290.616246499,494042.016806723,83
"84",3,7.5,9.83333333333333,5,1,72990,121,0,0,0,240679.411764706,906836.029411765,1292019.29271709,84
"85",6,7.5,6,12,13,379000,218,0,0,0,1025770.30812325,1175770.30812325,1003361.34453782,85
"86",3,4,4,27,26.4,27990,139,1,0,0,918616.2464986,1184537.81512605,1235260.50420168,86
"87",11,78,57,41,7,8990,44,0,0,0,57470.5882352941,442571.428571429,319252.100840336,87
"88",60.3333333333333,39,141,145,151.2,15390,312,0,0,1,657946.778711485,319319.327731092,1648226.8907563,88
"89",5,5,9,10,16,21990,764,0,0,1,71386.5546218487,71386.5546218487,157050.420168067,89
"91",1,1,6,15,7,69990,31,0,0,0,50411.7647058824,168058.823529412,285663.865546219,91
"93",26,23,24,18,15,21990,191,0,0,1,80420.1680672269,106504.201680672,161126.050420168,93
"94",1,50.5,53.7,55,48,99900,5256,0,0,0,109235.294117647,1793239.49579832,1998071.42857143,94
"95",4,14,27,29.6,37.52,23990,400,0,0,0,124336.134453782,342327.731092437,669445.378151261,95
"96",159.333333333333,172.833333333333,208,127,170.4,15990,84,0,0,0,4050655.46218487,4386743.69747899,6139210.08403361,96
"97",5,4,14,10.4,14.68,8990,158,0,1,0,74747.8991596639,34420.1680672269,103689.075630252,97
"98",51.3333333333333,31,120,176,96.8,84990,387,0,0,0,1662159.66386555,1462554.62184874,3445890.75630252,98
"99",13.3333333333333,11,21,20,23,34990,263,0,0,1,360941.176470588,309991.596638655,540966.386554622,99
"100",24,35,35,17,11,15490,118,0,1,0,599563.025210084,600546.218487395,776126.050420168,100
"104",7.66666666666667,9.41666666666667,14,9,3,20190,166,0,0,0,210215.68627451,228785.014005602,238268.907563025,104
"106",4,4,4,22,41,13990,38,0,0,0,55406.162464986,53445.3781512605,62689.0756302521,106
"107",9,6,18,31.2,46,189990,328,0,1,0,4875680.67226891,2482302.5210084,8983420.16806723,107
"108",2,74.75,76.75,12,23,596878,5747,0,0,0,292100.840336134,17229443.697479,17541479.6638655,108
"110",3,21,12,17,8,58900,150,0,0,0,91344.537815126,489831.932773109,340168.067226891,110
"111",6,12,57,73,57,16990,1241,0,0,1,52050.4201680672,171327.731092437,743218.487394958,111
"112",15.3333333333333,19,11,14.6,18,18485,2,0,0,0,174084.033613445,244344.537815126,113352.941176471,112
"113",1,11,33,23.2,26.04,27400,901,0,0,0,9495.79831932773,194117.647058824,640420.168067227,113
"114",21.6666666666667,26.1666666666667,28,48.0333333333333,55.2066666666667,44990,715,0,0,1,1201498.59943978,1505032.21288515,1609008.40336134,114
"115",1,18,21,15,18.2,199990,302,0,0,0,109159.663865546,1343025.21008403,2174705.88235294,115
"116",66,28,36,19,25.6,11990,1376,0,0,0,481798.319327731,174554.62184874,423865.546218487,116
"118",13,37.25,13.65,11.98,1,139000,57,0,1,0,1408403.36134454,12922268.907563,3388722.68907563,118
"120",1,42,29.25,24.85,11,12990,280,0,0,0,14277.3109243697,571663.865546219,444346.638655462,120
"121",22,43,41.4,35,31,11990,985,0,0,1,200655.462184874,408873.949579832,394100.840336134,121
"122",2,13,151,192,293,22990,5394,1,0,1,40319.3277310924,177201.680672269,1894495.79831933,122
"123",48,141,100.8,115.36,104,16300,505,0,0,0,911966.386554622,1948310.92436975,1413090.75630252,123
"126",1,3,3,15,18,10900,27,0,0,0,4621.8487394958,19747.8991596639,25126.0504201681,126
"128",5,2,10,10,12,48900,347,0,0,0,352605.042016807,86050.4201680672,512663.865546219,128
"129",31,20.3333333333333,13,23,47.6,34990,7572,1,0,1,653521.008403361,385263.305322129,166277.31092437,129
"130",33.6666666666667,16,51.3333333333333,42.2666666666667,11,32990,284,0,0,0,794372.549019608,447747.899159664,1225333.33333333,130
"132",5.66666666666667,3,5.73333333333333,6.34666666666667,8,8490,156,0,0,0,81733.893557423,41075.6302521008,88474.5098039216,132
"133",20.3333333333333,13,12.2666666666667,12.6533333333333,11,20990,72,0,0,0,311936.414565826,261966.386554622,293880.728291317,133
"134",5,5,10.2,11.64,12.168,12900,39,0,0,0,45798.3193277311,43277.3109243698,84857.1428571429,134
"135",10.6666666666667,20.6666666666667,12,42,161,19990,19,0,0,0,170459.383753501,348698.879551821,173815.12605042,135
"136",49,140,227.2,279.84,398.808,9990,1502,0,1,1,325756.302521008,936722.68907563,1599704.20168067,136
"137",3,5,10,8,9,9990,51,0,0,0,13924.3697478992,90697.4789915967,86453.781512605,137
"138",3,16,13.2,18,12.44,13990,212,0,0,0,82747.8991596639,334722.68907563,290806.722689076,138
"139",20.6666666666667,21.9166666666667,29,25.9833333333333,27.9966666666667,49390,2854,0,0,1,487551.820728291,586616.946778711,733705.882352941,139
"140",1,4,8,22,20.4,83990,209,0,0,0,58815.1260504202,252680.672268908,397781.512605042,140
"141",3,7,6,18,1,259900,22,0,0,0,32747.8991596639,98243.6974789916,65495.7983193277,141
"142",5,7,13,9.2,11.04,58000,129,0,0,1,210084.033613445,294117.647058824,7e+05,142
"143",1,6,52,12,18,37495,186,0,0,1,8394.95798319328,1072941.17647059,1707125.21008403,143
"144",13.3333333333333,20.5833333333333,38,30,30,6990,1752,0,0,0,96229.6918767507,140706.582633053,278621.848739496,144
"145",1,61.5,88.9,142.68,175,19990,2442,0,0,1,12596.6386554622,1243542.01680672,1793520.16806723,145
"146",0.1,2,2,10,6.8,149990,83,0,1,0,0,50403.3613445378,361327.731092437,146
"149",12,40.5,7,33,22,89150,177,0,0,0,32705.8823529412,230693.277310924,139352.941176471,149
"150",1,4,5.8,8.16,7,89990,250,0,0,0,163857.142857143,365512.605042017,481463.865546218,150
"154",9,62,59,78.4,76.88,34990,1385,1,0,0,268831.932773109,1869226.8907563,1768411.76470588,154
"155",17,23,20,13,20,6990,261,0,1,0,314915.966386555,365302.521008403,245210.084033613,155
"157",1,4,13,10,15,16990,564,0,0,0,5033.61344537815,46184.8739495798,120882.352941176,157
"159",5,8.75,9.35,16.42,15,44990,215,1,1,0,273067.226890756,656413.865546218,562815.546218487,159
"161",10,19,29,9,11,205790,21,0,0,0,1794410.92436975,2442793.27731092,6626470.58823529,161
"162",15,69.25,79.65,112,123,18800,183,0,0,0,234193.277310924,1022405.46218487,1179197.05882353,162
"164",11,9,16,4,13,99990,325,0,0,0,619638.655462185,456226.890756303,567932.773109244,164
"166",2,8.25,8.65,9,7,410000,79,0,0,0,435294.117647059,1593277.31092437,1734453.78151261,166
"167",30,153,248,440.6,308.92,39990,10033,1,0,1,772840.336134454,4484899.15966387,7740302.5210084,167
"168",112,174,161,107,276,14990,5731,1,0,1,1953680.67226891,2838840.33613445,2602815.12605042,168
"169",7,4,11,7.2,8.64,31950,225,0,0,0,134495.798319328,73210.0840336134,266588.235294118,169
"170",2,7,7,8,5,21990,195,0,0,0,20151.2605042017,215067.226890756,124315.12605042,170
"171",0.1,6,39,72,86,19990,1089,0,0,1,0,152840.336134454,850008.403361345,171
"172",1,18.6666666666667,5.66666666666667,1,1,2890000,5,0,0,0,3773109.24369748,191170868.347339,53452380.952381,172
"173",13,21,26,28,25,13990,201,0,0,1,200344.537815126,222495.798319328,234235.294117647,173
"174",9,22,22.2,24.05,24,25980,114,0,0,0,300739.495798319,688857.142857143,834055.462184874,174
"175",5,11,15,12,11,149900,62,0,0,0,352596.638655462,755453.781512605,1221655.46218487,175
"176",16.6666666666667,21,24,18,29,27990,418,0,0,1,193966.386554622,221655.462184874,307361.344537815,176
"177",4,9,8.6,15.32,13,15990,221,0,0,0,54285.7142857143,128655.462184874,136302.521008403,177
"178",14.3333333333333,14.3333333333333,16,6,11.2,13990,13,0,0,0,134613.445378151,134613.445378151,151126.050420168,178
"179",1,96,68.3333333333333,125.833333333333,11,89990,9,0,0,1,75621.8487394958,7259697.4789916,5167492.99719888,179
"180",13,26,34,65,60.6,12990,68,0,0,0,111655.462184874,226638.655462185,289630.25210084,180
"181",10.3333333333333,19.5833333333333,23,39,45,324990,155,0,0,0,1850322.12885154,3069357.84313725,3609857.14285714,181
"183",2,11,5,6.2,4.64,12990,11,0,0,0,15109.243697479,88983.1932773109,75168.0672268908,183
"184",3,23.25,32.0625,41,19,13000,1153,0,0,1,50168.0672268908,381701.680672269,507967.43697479,184
"185",3,12,8,10.8,10.56,14990,197,0,0,0,21403.3613445378,92336.1344537815,62201.6806722689,185
"186",8,8,10.4,11.48,16,47490,48,0,0,0,176403.361344538,289848.739495798,361253.781512605,186
"187",5,8.75,5.95,5.14,1,12490,5,0,0,0,39873.9495798319,85728.9915966387,53829.8319327731,187
"188",3,6,4,14,7,21990,224,0,0,1,55436.974789916,110873.949579832,73915.9663865546,188
"189",6,6,8,9,9.8,34990,6535,0,0,1,187394.957983193,168067.226890756,227689.075630252,189
"190",8,18,36,175,215,39990,1656,1,0,1,185647.058823529,379680.672268908,774470.588235294,190
"191",45.6666666666667,20,51.9333333333333,54.5866666666667,25,17990,738,0,0,0,545375.350140056,259478.991596639,701233.053221288,191
"192",52,26.75,19.35,12.82,2,17640,68,0,0,0,418554.62184874,203808.823529412,144190.336134454,192
"194",5,378,295.8,280.96,286.552,47990,1891,0,0,0,41134.4537815126,6149579.83193277,6578428.57142857,194
"195",5.66666666666667,9.66666666666667,15,17,25,14990,280,0,0,0,65773.1092436975,121411.764705882,178848.739495798,195
"197",2,12,9,4,1,46990,257,0,1,0,85697.4789915966,372151.260504202,215890.756302521,197
"198",3,26,65,97,80.8,24990,1954,1,0,1,48714.2857142857,309008.403361345,765000,198
"199",21,36,44.4,50,69,39900,1232,0,1,0,723277.31092437,1462514.70588235,1662259.24369748,199
"200",6,26,15.2,15.44,10,16990,448,0,0,1,59613.4453781513,237596.638655462,147939.495798319,200
"201",67,7,1,1,1,99000,30,0,0,0,1446084.03361345,250193.277310924,33605.0420168067,201
"202",17,21,13,8,9,299990,134,0,0,0,2285294.11764706,3568907.56302521,1966974.78991597,202
"204",5,8,4,6,4.33333333333333,39990,6,0,0,0,158781.512605042,245310.924369748,154235.294117647,204
"206",34,38.5,24,51,65,359990,59,0,0,0,6576745.09803922,7673345.93837535,4655260.50420168,206
"207",3,6.75,6.95,10,7.99,36850,22,0,1,0,60252.1008403361,217079.831932773,231214.285714286,207
"208",1,10,9.4,17,7,84000,792,1,0,0,73949.5798319328,854178.151260504,800396.638655462,208
"209",3,1,15.4,26.08,14,14990,597,0,0,0,34428.5714285714,21000,195978.319327731,209
"210",12,7,5,8,3,18990,207,0,1,0,68806.7226890756,49100.8403361345,37352.9411764706,210
"211",2,4,14,18,23,267980,353,0,1,0,526201.680672269,452067.226890756,1916672.26890756,211
"212",2,3,8,9,3,96990,237,0,0,0,168067.226890756,621848.739495798,1189075.6302521,212
"213",2,5.75,4,8.15,7.23,34990,99,0,0,0,25193.2773109244,101842.43697479,79798.3193277311,213
"214",29,28.25,15.45,11.34,1,24990,541,0,0,0,549336.134453782,570350.840336134,312979.411764706,214
"216",22,36,42.2,33.64,45,14990,5196,1,0,0,184689.075630252,302218.487394958,391403.361344538,216
"217",15,34,48,54,71,21990,55,0,0,0,243571.428571429,493731.092436975,849764.705882353,217
"218",2,4,9,16,10,16990,568,0,1,1,60487.3949579832,156252.100840336,137722.68907563,218
"219",45,29.5,27.1,19.72,14,34990,292,0,0,0,1505470.58823529,885663.865546218,861989.915966387,219
"220",115,148,166,195,144.6,19990,497,1,0,1,1417168.06722689,1792655.46218487,2280924.3697479,220
"221",31,37,35.8,39,31,36450,146,0,0,0,1153672.26890756,1498726.8907563,1352242.85714286,221
"222",3,6,7,5.2,4.44,12000,182,0,0,0,30252.1008403361,70588.2352941177,110924.369747899,222
"223",4,22,15,9,19,43990,750,1,0,1,35798.3193277311,351058.823529412,267100.840336134,223
"224",5,11,6,5,9,19990,86,0,0,1,90714.2857142857,187302.521008403,138605.042016807,224
"225",4.33333333333333,4,6,8.2,8.44,168780,63,0,0,0,109207.282913165,100806.722689076,151210.084033613,225
"227",64,60,54.4,30.08,26.496,276990,2491,0,0,0,12929918.767507,13109478.9915966,11107269.4677871,227
"228",3,4,3,13,17,139990,10,0,0,0,184848.739495798,252067.226890756,268882.352941177,228
"229",34,32.5,10,11,11,13990,189,0,0,0,286100.840336134,277836.134453782,115210.084033613,229
"231",9,11,17.2,18.04,19.448,26990,86,0,0,0,205806.722689076,244445.378151261,367583.193277311,231
"233",6,13,13,15.4,12.28,69990,38,0,0,0,609193.277310924,1145899.15966387,966277.31092437,233
"234",11.3333333333333,14,11,11,13,7500,73,0,0,0,119610.644257703,73680.6722689076,57882.3529411765,234
"235",4,5.5,5.1,5,3,19990,36,0,0,1,84000,118016.806722689,112810.084033613,235
"237",8,7,9.2,9,8.73333333333333,35700,478,0,0,1,747058.823529412,945294.117647059,1092840.33613445,237
"238",20,13,46,46,49,26990,1683,0,0,1,453613.445378151,238546.218487395,733226.890756303,238
"239",11,6,11,16,13,29990,96,0,0,1,237722.68907563,121798.319327731,241084.033613445,239
"240",2,3,11,12,11,157990,61,0,0,0,310756.302521008,466134.453781513,1864453.78151261,240
"241",4,6,5.25,5,6,29990,294,0,1,0,105008.403361345,180621.848739496,173481.092436975,241
"242",15,7,6,3.5,3,17887,98,0,0,0,171386.554621849,77661.0644257703,77051.8207282913,242
"243",1,9,14.2,20.64,23,39990,447,0,0,0,16798.3193277311,197403.361344538,360882.352941177,243
"245",3,8,4.8,4.45,4.08333333333333,229990,17,0,0,0,277285.714285714,1226806.72268908,596594.957983193,245
"247",1,1,10.3333333333333,5.66666666666667,1,525000,73,0,0,0,1722689.07563025,441176.470588235,12492997.1988796,247
"248",9,17,21,33,38.2,6500,162,0,0,0,50941.1764705882,100384.453781513,130302.521008403,248
"249",35,40,53,160.8,184.56,27990,9288,0,0,1,1114831.93277311,1259327.73109244,1671823.52941176,249
"250",67,90,102,83.8,76.76,18400,25205,0,0,0,831798.319327731,1248089.07563025,1214032.77310924,250
"251",9,7,1,5.5,2,38000,128,0,0,0,461344.537815126,246218.487394958,31932.7731092437,251
"252",1,8,26,27.6,27.12,11990,110,0,0,0,5873.94957983193,44033.6134453782,130873.949579832,252
"253",1,17.5,20,19.1,14.22,16990,10,0,0,0,15117.6470588235,240278.151260504,279078.991596639,253
"255",4.66666666666667,12.1666666666667,6,32,204,17490,16,0,0,0,61294.1176470588,158264.705882353,100773.109243697,255
"256",1,4,8,23,17,49990,50,0,0,0,42008.4033613445,168033.613445378,304134.453781513,256
"257",4,12,22.6,28.92,27,59990,23,0,0,0,100806.722689076,309983.193277311,606189.915966387,257
"258",13.3333333333333,14,12,17.8,33,414990,24,0,0,0,408252.100840336,416672.268907563,613243.697478992,258
"259",11,37,146,194.8,133.96,39990,707,0,0,0,162075.630252101,749907.56302521,2187680.67226891,259
"261",8,3,5.6,4.52,1,19900,17,0,0,0,315294.117647059,114873.949579832,181344.537815126,261
"262",44,35,46.6,55.92,61,24990,847,0,1,0,1941596.63865546,738344.537815126,1197719.32773109,262
"263",6,6,5.4,5.35,4.91666666666667,245990,41,0,0,0,1094621.8487395,949529.411764706,882418.487394958,263
"264",2,25,22,20,17,7990,760,0,0,0,6580.67226890756,59598.3193277311,70419.3277310924,264
"265",1,6.5,11.3,10,31,14490,248,0,0,0,9235.29411764706,72000,129939.495798319,265
"267",38,78.5,72.1,99.72,45,21990,6418,0,1,1,1320806.72268908,1446336.13445378,1302253.78151261,267
"268",5,13,10.4,20,9.88,49990,47,0,0,1,184831.932773109,466277.31092437,384786.554621849,268
"270",7,13.25,12.0625,6,45.75,36990,5725,0,1,0,116596.638655462,170665.966386555,153861.869747899,270
"271",5.33333333333333,7.33333333333333,2,12,26.6,21990,327,0,1,0,386509.803921569,418425.770308123,134436.974789916,271
"273",4,2,4,6,5,7990,247,0,0,1,13042.0168067227,2310.9243697479,8403.36134453782,273
"274",3,6,11.2,24,13.64,123990,3366,0,1,0,267201.680672269,505831.932773109,739023.529411765,274
"275",16,10,12.8,12.16,13,22200,341,0,0,0,209089.075630252,169816.806722689,221931.260504202,275
"276",4,38,41.2,40.64,39.968,17980,217,0,0,1,26857.1428571429,226571.428571429,255099.159663866,276
"277",92,1,79,45,16,189990,14,0,0,0,11142000,109235.294117647,7007621.8487395,277
"278",36,19,31.4,29.68,25,33990,168,0,0,0,945882.352941177,343537.81512605,680552.941176471,278
"279",4,16.5,100.7,37,424,24990,100,0,0,0,117613.445378151,430315.12605042,1699436.13445378,279
"281",12,13.25,13.85,13,12,65000,157,0,0,1,496638.655462185,477100.840336134,530042.016806723,281
"283",11.3333333333333,3,29,2,17.2,9000,83,0,0,0,161484.593837535,15966.3865546218,444957.983193277,283
"284",11,22,23.2,24.04,25.448,11990,533,0,0,0,58310.9243697479,121663.865546218,150547.899159664,284
"285",9.5,7.5,2,5,5.4,39990,24,0,0,1,139760.504201681,118225.490196078,41159.6638655462,285
"286",3,7,5,17,22,12700,165,0,0,0,29103.6414565826,68662.4649859944,47815.1260504202,286
"287",7,4,6,4.2,3.64,16490,297,0,0,0,168848.739495798,69714.2857142857,102470.588235294,287
"288",4,8.33333333333333,14,12,19,9506,721,0,0,0,103147.058823529,181763.305322129,254747.899159664,288
"290",17,63,55.8,70.76,74.912,7990,182,0,0,0,69504.2016806723,260008.403361345,226556.302521008,290
"291",4,7,3,11,15,314990,24,0,0,1,67193.2773109244,117588.235294118,50394.9579831933,291
"292",1,1,82,125,138,7990,923,0,1,0,5033.61344537815,6714.28571428571,411058.823529412,292
"293",33.3333333333333,30,23,16,54.75,14990,20,0,0,0,540862.745098039,402268.907563025,346831.932773109,293
"294",12,2,9.8,12.56,15,18990,426,0,0,0,231831.932773109,28554.6218487395,160926.050420168,294
"295",260.333333333333,429,371.466666666667,373.893333333333,320,13990,5437,1,0,1,2649380.95238095,4188361.34453782,3751524.92997199,295
"296",27,26,23.6,25,29,279990,79,0,0,0,4625865.54621849,3946678.57142857,3756416.38655462,296
"297",6,4,5,11,8.6,14000,20,0,0,0,43221.2885154062,20168.0672268908,55462.1848739496,297
"299",1,24,78,131,242,79990,2594,0,1,0,12176.4705882353,598521.008403361,2755478.99159664,299
"300",10,7,9,1,1,22900,20,0,0,1,255355.462184874,194445.378151261,244331.37254902,300
"301",11,13,4,4,16.2,9690,247,0,0,0,60042.0168067227,98142.8571428571,22487.3949579832,301
"302",1,3,31,156,216.8,27990,2637,0,1,1,84025.2100840336,176445.378151261,362731.092436975,302
"304",5,2,6.75,28.15,54.38,599990,688,0,1,0,1176428.57142857,773092.43697479,3189006.30252101,304
"305",1,6,20,20,16.8,34990,74,0,0,1,15957.9831932773,155411.764705882,504033.613445378,305
"306",64,84,84.6,87.72,60,13990,1629,0,1,0,725131.652661065,907647.05882353,982809.523809524,306
"307",2,1,9,13,15,35990,160,0,0,1,50403.3613445378,15957.9831932773,162109.243697479,307
"309",1,1,84,163.2,190.04,39990,199,0,0,0,10075.6302521008,23521.0084033613,1613882.35294118,309
"310",1,7,12,25,18,116990,36,0,0,0,16798.3193277311,251974.789915966,409075.630252101,310
"311",12,17,16.8,16,14,25990,82,0,0,1,265428.571428571,330731.092436975,332413.445378151,311
"312",7.66666666666667,10,12,13,10,29990,271,0,0,1,191532.212885154,241932.773109244,299058.823529412,312
"313",2,13,21,22,34,24990,4436,0,1,0,134436.974789916,592327.731092437,1815789.91596639,313
"314",5.66666666666667,4.91666666666667,4,5,7.2,14000,15,0,0,0,57703.081232493,48459.3837535014,48739.4957983193,314
"315",13,26,34.8,39.16,42.992,26700,113,0,0,0,195882.352941176,365462.18487395,487647.058823529,315
"316",55.6666666666667,50.9166666666667,38,44.7833333333333,53.3566666666667,9990,384,0,0,0,461414.565826331,425000.700280112,299915.966386555,316
"318",7.33333333333333,8.33333333333333,9.33333333333333,7,16,3390,7,0,0,0,47053.2212885154,51246.4985994398,53083.4733893557,318
"319",4,17,3,1,1,399990,37,0,0,0,1285680.67226891,5739352.94117647,689050.420168067,319
"320",10,5.75,6.6875,7,2,499990,418,0,1,0,4436890.75630252,3331884.45378151,3933767.33193277,320
"322",31,48,48,57,126,14990,154,0,0,0,381184.87394958,463428.571428571,545378.151260504,322
"323",1,2,15,11,11.4,28990,1225,0,0,1,25201.6806722689,29394.9579831933,288949.579831933,323
"324",117,189,105,123,94,16490,520,0,0,1,1559599.43977591,2549100.84033613,1327672.26890756,324
"325",22,50,133,52.6,56.15,14690,1427,0,0,0,524184.87394958,1331327.73109244,3943756.30252101,325
"326",4,14,12,6,2,12990,7,0,0,0,27865.5462184874,145495.798319328,103764.705882353,326
